,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Carolina Panthers,2,15,0,0.118,236,416,-180,2 - 6 - 0,0 - 9 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,1 - 4 - 0,3L,1 - 4 - 0
1,Arizona Cardinals,4,13,0,0.235,330,455,-125,2 - 6 - 0,2 - 7 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,1 - 4 - 0,1L,2 - 3 - 0
2,New England Patriots,4,13,0,0.235,236,366,-130,1 - 8 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 5 - 0,2L,2 - 3 - 0
3,Washington Commanders,4,13,0,0.235,329,518,-189,1 - 7 - 0,3 - 6 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 3 - 0,8L,0 - 5 - 0
4,Los Angeles Chargers,5,12,0,0.294,346,398,-52,2 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 3 - 0,5L,0 - 5 - 0
5,New York Giants,6,11,0,0.353,266,407,-141,4 - 4 - 0,2 - 7 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 4 - 0,1W,2 - 3 - 0
6,Tennessee Titans,6,11,0,0.353,305,367,-62,5 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 3 - 0,1W,2 - 3 - 0
7,Atlanta Falcons,7,10,0,0.412,321,373,-52,5 - 3 - 0,2 - 7 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,3 - 2 - 0,2L,1 - 4 - 0
8,Chicago Bears,7,10,0,0.412,360,379,-19,5 - 3 - 0,2 - 7 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 4 - 0,1L,3 - 2 - 0
9,Minnesota Vikings,7,10,0,0.412,344,362,-18,2 - 6 - 0,5 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 4 - 0,4L,1 - 4 - 0
10,New York Jets,7,10,0,0.412,268,355,-87,4 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 2 - 0,1W,3 - 2 - 0
11,Denver Broncos,8,9,0,0.471,357,413,-56,5 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 2 - 0,1L,2 - 3 - 0
12,Las Vegas Raiders,8,9,0,0.471,332,331,1,6 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 3 - 0,1W,3 - 2 - 0
13,Cincinnati Bengals,9,8,0,0.529,366,384,-18,6 - 3 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,5 - 0 - 0,1W,3 - 2 - 0
14,Green Bay Packers x,9,8,0,0.529,383,350,33,5 - 3 - 0,4 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0,3W,3 - 2 - 0
15,Indianapolis Colts,9,8,0,0.529,396,415,-19,4 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 3 - 0,1L,2 - 3 - 0
16,Jacksonville Jaguars,9,8,0,0.529,377,371,6,4 - 5 - 0,5 - 3 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 2 - 0,1L,1 - 4 - 0
17,New Orleans Saints,9,8,0,0.529,402,327,75,5 - 3 - 0,4 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 2 - 0,2W,4 - 1 - 0
18,Seattle Seahawks,9,8,0,0.529,364,402,-38,5 - 3 - 0,4 - 5 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 3 - 0,1W,3 - 2 - 0
19,Tampa Bay Buccaneers xz,9,8,0,0.529,348,325,23,4 - 4 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0,1W,4 - 1 - 0
20,Houston Texans xz,10,7,0,0.588,377,353,24,6 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 2 - 0,2W,3 - 2 - 0
21,Los Angeles Rams x,10,7,0,0.588,404,377,27,5 - 3 - 0,5 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 3 - 0,4W,4 - 1 - 0
22,Pittsburgh Steelers x,10,7,0,0.588,304,324,-20,5 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,3 - 2 - 0,3W,3 - 2 - 0
23,Buffalo Bills xz,11,6,0,0.647,451,311,140,7 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,5W,5 - 0 - 0
24,Cleveland Browns x,11,6,0,0.647,396,362,34,8 - 1 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 2 - 0,1L,4 - 1 - 0
25,Kansas City Chiefs xz,11,6,0,0.647,371,294,77,5 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 3 - 0,2W,3 - 2 - 0
26,Miami Dolphins x,11,6,0,0.647,496,391,105,7 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,2L,2 - 3 - 0
27,Philadelphia Eagles x,11,6,0,0.647,433,428,5,6 - 2 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,2L,1 - 4 - 0
28,Dallas Cowboys xz,12,5,0,0.706,509,315,194,8 - 0 - 0,4 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 2 - 0,2W,3 - 2 - 0
29,Detroit Lions xz,12,5,0,0.706,461,395,66,6 - 2 - 0,6 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 1 - 0,1W,3 - 2 - 0
30,San Francisco 49ers xz*,12,5,0,0.706,491,298,193,5 - 3 - 0,7 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 3 - 0,1L,3 - 2 - 0
31,Baltimore Ravens xz*,13,4,0,0.765,483,280,203,6 - 3 - 0,7 - 1 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,5 - 0 - 0,1L,4 - 1 - 0
